t,z1,z2,rel,vrel,Fpto,Ppto,Tmoor
0,-0.719999999999999,-21.29,20.57,0,1.15707158431597e-26,0,0
0.1,-0.720000000067468,-21.2899999999936,20.5699999999261,-3.25211931010848e-09,0.00156101726885207,-5.07661440344661e-12,0
0.2,-0.720000001598198,-21.2899999998535,20.5699999982553,-3.93287071053631e-08,0.0188777794105744,-7.42438657238134e-10,0
0.3,-0.720000010484867,-21.2899999990548,20.5699999885699,-1.78196957673455e-07,0.0855345396832579,-1.52419947475559e-08,0
0.4,-0.720000040880585,-21.2899999963453,20.5699999554647,-5.28766707612684e-07,0.253808019654085,-1.34205230918186e-07,0
0.5,-0.720000118378088,-21.2899999894564,20.5699998710784,-1.2289804885475e-06,0.5899106345028,-7.24988659790613e-07,0
0.6,-0.720000282061811,-21.2899999749077,20.5699996928459,-2.43253762353739e-06,1.16761805929795,-2.84027485916397e-06,0
0.7,-0.720000585356523,-21.2899999479169,20.5699993625604,-4.29661014230663e-06,2.06237286830718,-8.86121218318662e-06,0
0.8,-0.720001095854972,-21.2899999023997,20.5699988065447,-6.97198677862724e-06,3.34655365374105,-2.33321278278493e-05,0
0.9,-0.720001894326348,-21.2899998310281,20.5699979367017,-1.05951165855396e-05,5.08565596105901,-5.38831178213648e-05,0
1,-0.720003073022429,-21.2899997253284,20.569996652306,-1.52810406316537e-05,7.33489950319374,-0.0001120848973374,0
1.1,-0.720004733324668,-21.289999575807,20.5699948424824,-2.11166398256732e-05,10.1359871163231,-0.000214037989213059,0
1.2,-0.720006982759308,-21.289999372104,20.5699923893446,-2.81542348509664e-05,13.5140327284638,-0.000380477251220817,0
1.3,-0.7200099314353,-21.2899991031772,20.5699891717419,-3.64059128696133e-05,17.4748381774144,-0.000636187436097539,0
1.4,-0.720013687999217,-21.2899987575188,20.5699850695196,-4.58389683419276e-05,22.0027048041251,-0.00100858128895307,0
1.5,-0.72001835522946,-21.2899983234011,20.5699799681716,-5.63726809855606e-05,27.058886873069,-0.00152538199751989,0
1.6,-0.720024025401493,-21.2899977891458,20.5699737637443,-6.78764773064763e-05,32.5807091071086,-0.00221146376233756,0
1.7,-0.720030775553049,-21.289997143411,20.569966367858,-8.016941849523e-05,38.4813208777103,-0.00308502511769439,0
1.8,-0.720038662770396,-21.2899963754866,20.5699577127162,-9.30209313014967e-05,44.6500470247183,-0.00415338895689491,0
1.9,-0.720047719610161,-21.2899954755932,20.569947755983,-0.000106152715303363,50.9533033456143,-0.0054088315038129,0
