t,z1,z2,rel,vrel,Fpto,Ppto,Tmoor
0,-0.719999999999999,-21.29,20.57,0,1.15707158431597e-26,0,0
0.1,-0.720000000269884,-21.2899999999744,20.5699999997045,-1.30084768668946e-08,0.00624406889610948,-8.1225825790336e-11,0
0.2,-0.720000006392798,-21.2899999994141,20.5699999930213,-1.57314826721475e-07,0.075511116826307,-1.18790182590756e-08,0
0.3,-0.720000041939482,-21.2899999962192,20.5699999542797,-7.12787825616221e-07,0.34213815629579,-2.43871912486419e-07,0
0.4,-0.720000163522339,-21.2899999853811,20.5699998218588,-2.11506680589764e-06,1.01523206683086,-2.14728364483681e-06,0
0.5,-0.720000473512361,-21.2899999578258,20.5699994843134,-4.91592183916665e-06,2.35964248280002,-1.15998180138221e-05,0
0.6,-0.72000112824723,-21.2899998996307,20.5699987713835,-9.73015006781603e-06,4.67047203255165,-4.54443937642653e-05,0
0.7,-0.720002341426085,-21.2899997916677,20.5699974502417,-1.7186439307549e-05,8.24949086762349,-0.000141779374114591,0
0.8,-0.720004383419866,-21.2899996095987,20.5699952261789,-2.78879439966951e-05,13.3862131184136,-0.000373313961774145,0
0.9,-0.720007577305349,-21.2899993241123,20.5699917468069,-4.23804596749937e-05,20.342620643997,-0.000862129613886607,0
1,-0.720012292089613,-21.2899989013136,20.569986609224,-6.11241498507474e-05,29.3395919283587,-0.00179335761358877,0
1.1,-0.720018933298476,-21.2899983032281,20.5699793699296,-8.44665374567644e-05,40.5439379792468,-0.00342460605596878,0
1.2,-0.720027931036938,-21.2899974884159,20.569969557379,-0.000112616904787096,54.056114297806,-0.00608763227703641,0
1.3,-0.720039725740751,-21.2899964127088,20.5699566869681,-0.000145623600547204,69.8993282626574,-0.0101789918574391,0
1.4,-0.720054751996276,-21.2899950300755,20.5699402780792,-0.000183355803348645,88.0107856073494,-0.0161372882983809,0
1.5,-0.720073420917171,-21.2899932936045,20.5699198726873,-0.00022549063369865,108.235504175352,-0.024406092425193,0
1.6,-0.720096101605407,-21.2899911565835,20.5698950549781,-0.000271505800169266,130.322784081247,-0.0353833917722655,0
1.7,-0.72012310221201,-21.2899885736442,20.5698654714322,-0.00032067755089747,153.925224430785,-0.0493603639918076,0
1.8,-0.720154651082268,-21.2899855019463,20.569830850864,-0.000372083596833891,178.600126480268,-0.0664541774557659,0
1.9,-0.720190878442846,-21.2899819023723,20.5697910239294,-0.000424610740418312,203.813155400789,-0.0865412548217215,0
2,-0.720231799070763,-21.2899777407153,20.5697459416445,-0.000476967045057251,228.94418162748,-0.10919882979391,0
2.1,-0.72027729637399,-21.2899729888381,20.5696956924641,-0.000527698447590654,253.295254843513,-0.133663512763001,0
2.2,-0.720327108305739,-21.2899676257863,20.5696405174806,-0.000575209739877908,276.100675141395,-0.158815797528196,0
2.3,-0.72038081552655,-21.2899616388368,20.5695808233102,-0.000617789844123483,296.539125179271,-0.183198859921016,0
2.4,-0.720437832219655,-21.2899550244603,20.5695171922406,-0.000653641293340453,313.747820803417,-0.205078531372694,0
2.5,-0.720497399954844,-21.2899477891801,20.5694503892253,-0.000680913803535126,326.83862569686,-0.222548931765442,0
2.6,-0.720558584983678,-21.2899399503068,20.5693813653231,-0.000697741778605787,334.916053730777,-0.233684923013744,0
2.7,-0.720620279330674,-21.2899315365311,20.5693112572004,-0.000702285512561389,337.097046029466,-0.236738371753733,0
2.8,-0.720681206018725,-21.2899225883609,20.5692413823422,-0.000692775741824582,332.532356075799,-0.230370349661088,0
2.9,-0.720739928727387,-21.289913158388,20.5691732296606,-0.000667561055496853,320.429306638488,-0.213906126151714,0
3,-0.720794866128063,-21.2899033113748,20.5691084452468,-0.000625157501890589,300.075600907482,-0.187594513041639,0
3.1,-0.720844311067655,-21.2898931241537,20.5690488130861,-0.000564299547418453,270.863782760857,-0.152848310024002,0
3.2,-0.720886454682027,-21.2898826853345,20.5689962306525,-0.000483991362733148,232.31585411191,-0.112438866816139,0
3.3,-0.720919415412943,-21.2898720948194,20.5689526794065,-0.000383557244574224,184.107477395628,-0.0706157567353783,0
3.4,-0.720941272779292,-21.2898614631284,20.5689201903491,-0.000262689842733408,126.091124512037,-0.0331228576681454,0
3.5,-0.720950105618495,-21.2898509105412,20.5689008049227,-0.000121494760432767,58.3174850077283,-0.00708526887005542,0
