t,z1,z2,rel,vrel,Fpto,Ppto,x1,x2,Tmoor
0,-0.719999999999999,-21.5,20.78,0,-7.37497126803516e-13,-0,2.56425989891439e-23,-6.87387089031566e-21,0
0.1,-0.719999809497399,-21.4999817444966,20.7799819349992,-0.000383118446720136,459.742136064162,-0.176135693060699,4.42138903854366e-12,-1.4251812624911e-12,-2.31198518070549e-07
0.2,-0.719998008238974,-21.4999182665392,20.7799202583002,-0.000871669023890588,1046.00282866871,-0.911768264652445,4.48828437561905e-11,-6.96063723007722e-11,-2.44251004508587e-06
0.3,-0.719991753612959,-21.4997976222749,20.7798058686619,-0.00142459427787544,1709.51313345053,-2.43536262786654,-3.20931278310038e-10,-5.468853258536e-10,1.56550040038838e-05
0.4,-0.719977419501834,-21.4996131159628,20.779635696461,-0.00197378831024484,2368.54597229381,-4.67500835239102,-3.51421032194316e-09,-2.47867331297891e-09,0.000177505455881362
0.5,-0.719951340764755,-21.4993642764153,20.7794129356505,-0.00246891076177258,2962.69291412709,-7.31462441951575,-1.63248407707285e-08,-8.32785815832122e-09,0.000830107979413052
0.6,-0.719910443495735,-21.4990545653983,20.7791441219026,-0.00289452251939987,3473.42702327983,-10.0539127383755,-5.29636419080807e-08,-2.30374241251877e-08,0.002700091090961
0.7,-0.719852546983695,-21.4986883209024,20.7788357739187,-0.00326371894184763,3916.46273021715,-12.78223359765,-1.38526208142905e-07,-5.54663198626914e-08,0.00707044701975851
0.8,-0.719776336079882,-21.4982686658613,20.7784923297815,-0.00360146847391279,4321.76216869534,-15.5646902023052,-3.12691532297076e-07,-1.20182986790918e-07,0.0159688077755195
0.9,-0.719681144820211,-21.4977969010685,20.7781157562483,-0.00392982729902039,4715.79275882446,-18.532251120151,-6.33578293271993e-07,-2.39562899467205e-07,0.0323633691827679
1,-0.719566720660058,-21.4972729958019,20.7777062751418,-0.00426097883676451,5113.17460411739,-21.7871287768259,-1.18174045062321e-06,-4.46107318935295e-07,0.0603656602878498
1.1,-0.719433079186302,-21.4966964645044,20.7772633853181,-0.00459781073861288,5517.37288633545,-25.3678363057247,-2.06427924675635e-06,-7.84882404128263e-07,0.105439151781027
1.2,-0.719280471559696,-21.4960670608836,20.7767865893239,-0.00493839511218528,5926.07413462232,-29.2652955408665,-3.41899363073547e-06,-1.31596960570845e-06,0.174609860581628
1.3,-0.719109423355004,-21.4953850577864,20.7762756344313,-0.00528055481452279,6336.66577742733,-33.4611109790157,-5.41841330970483e-06,-2.11681678334142e-06,0.276671084601373
1.4,-0.718920784873024,-21.4946511725597,20.7757303876867,-0.00562436029420215,6749.23235304256,-37.9601144627971,-8.27348341794587e-06,-3.28438133277204e-06,0.422370507838494
1.5,-0.71871575041672,-21.4938663315697,20.775150581153,-0.00597231764116974,7166.78116940367,-42.8022936084326,-1.2236611362971e-05,-4.93695901930021e-06,0.624564889227037
1.6,-0.718495834589678,-21.4930314537207,20.774535619131,-0.00632817990223149,7593.81588267776,-48.0550330500077,-1.76037480289718e-05,-7.21559341961301e-06,0.898325559360243
1.7,-0.718262817428219,-21.492147343571,20.7738845261428,-0.00669553243592092,8034.63892310508,-53.7961855205628,-2.47151546022903e-05,-1.02849600715164e-05,1.26097686408608
1.8,-0.718018678662418,-21.4912146941937,20.7731960155313,-0.00707689475284282,8492.27370341137,-60.098927211377,-3.39544999519941e-05,-1.43336166454361e-05,1.73204936481588
1.9,-0.717765537030729,-21.4902341498697,20.7724686128389,-0.00747351495539019,8968.2179464682,-67.0241109461288,-4.57459418684868e-05,-1.95735064420618e-05,2.3331300384768
2,-0.717505600901156,-21.4892063736735,20.7717007727724,-0.00788563977896631,9462.76773475955,-74.6199776683388,-6.05488720293564e-05,-2.623859875784e-05,3.08759309471818
2.1,-0.717241128334567,-21.4881320871715,20.770890958837,-0.00831292596945527,9975.5111633463,-82.9256858083725,-7.88500545478339e-05,-3.45825483024118e-05,4.0201976108107
2.2,-0.716974391320512,-21.4870120765781,20.7700376852576,-0.00875474704383327,10505.6964525999,-91.9747149618087,-0.000101152966020816,-4.48752596339391e-05,5.15654221120274
2.3,-0.716707639766234,-21.4858471772875,20.7691395375212,-0.00921031045270631,11052.3725432475,-101.795782362277,-0.00012796425336823,-5.73982545587241e-05,6.52237259911847
2.4,-0.716443063651013,-21.4846382530135,20.7681951893625,-0.00967862747509309,11614.3529701117,-112.410995761952,-0.00015977736333623,-7.24387636173194e-05,8.14274482010098
2.5,-0.716182754359256,-21.4833861808035,20.7672034264442,-0.0101584288121868,12190.1145746242,-123.832411118721,-0.000197053559797365,-9.02824996133875e-05,10.0410554652094
2.6,-0.715928667449866,-21.4820918453515,20.7661631779017,-0.010648104200758,12777.7250409096,-136.05854768424,-0.000240200724419933,-0.000111205123083266,12.237959215931
2.7,-0.715682589015163,-21.4807561401655,20.7650735511503,-0.0111457004724964,13374.8405669956,-149.071966827126,-0.000289550523041362,-0.000135462476676628,14.7502036852222
2.8,-0.715446106963256,-21.479379971028,20.7639338640647,-0.0116489724544787,13978.7669453744,-162.838271094243,-0.000345334702572838,-0.000163279745933269,17.589420822953
2.9,-0.715220587701069,-21.4779642581111,20.76274367041,-0.0121554613569877,14586.5536283853,-177.306288961467,-0.00040766144873554,-0.000194839794378592,20.7609225754648
3,-0.715007158187262,-21.4765099352879,20.7615027771007,-0.0126625756132845,15195.0907359414,-192.408985394576,-0.000476492870108192,-0.000230271015936001,24.2625553394016
3.1,-0.714806693206423,-21.4750179470736,20.7602112538672,-0.0131676602763519,15801.1923316223,-208.064732584099,-0.000551624765806497,-0.000269635140569394,28.0836723652153
3.2,-0.714619807823311,-21.4734892445011,20.7588694366778,-0.0136680530414348,16401.6636497217,-224.178808732169,-0.000632669870713859,-0.000312915511935061,32.2042850423156
3.3,-0.714446855105621,-21.4719247811499,20.7574779260443,-0.0141611318835501,16993.3582602601,-240.645187467958,-0.000719045743797617,-0.000360006420235245,36.5944524446346
3.4,-0.714287929227602,-21.4703255099691,20.7560375807415,-0.0146443602485257,17573.2322982308,-257.34874450632,-0.000809968365125519,-0.000410704111188613,41.2139633056109
3.5,-0.714142873958533,-21.4686923809506,20.7545495069921,-0.0151153329296769,18138.3995156122,-274.167947489969,-0.000904452333300126,-0.000464700095742799,46.0123556088839
3.6,-0.714011296342207,-21.4670263393795,20.7530150430373,-0.015571822145318,18686.1865743816,-290.977973910499,-0.00100131830950583,-0.000521577349191019,50.929306353906
3.7,-0.713892585150401,-21.4653283243517,20.7514357392013,-0.0160118209220989,19214.1851065187,-307.654091089637,-0.00109920804473072,-0.000580809909409735,55.8954081762821
3.8,-0.713785933493476,-21.4635992673899,20.7498133338964,-0.0164335802811664,19720.2963373996,-324.075073029049,-0.0011966069656658,-0.00064176626161211,60.8333310259057
3.9,-0.71369036481661,-21.4618400911509,20.7481497263343,-0.0168356374625012,20202.7649550014,-340.126426522528,-0.00129187389975166,-0.00070371673420583,65.6593469291439
4,-0.713604761400219,-21.4600517083307,20.7464469469305,-0.0172168336780413,20660.2004136496,-355.703234276805,-0.00138327711228069,-0.000765844933375714,70.2851750833116
4.1,-0.713527894409907,-21.4582350208857,20.7447071264758,-0.0175763209937714,21091.5851925257,-370.712471611308,-0.00146903543265918,-0.000827263022504351,74.6200843940313
4.2,-0.713458454497605,-21.4563909196506,20.742932465153,-0.0179135586292761,21496.2703551313,-385.074699317415,-0.00154736288857137,-0.000887030419012975,78.5731723785803
4.3,-0.713395081941744,-21.4545202843686,20.7411252024269,-0.018228299286045,21873.9591432539,-398.725073833952,-0.00161651497126789,-0.000944175250379286,82.0557244133432
4.4,-0.713336395334608,-21.452623984103,20.7392875887684,-0.0185205662777008,22224.6795332409,-411.613650296049,-0.00167483444585178,-0.000997717698995213,84.9835467844449
4.5,-0.713281017885919,-21.4507028779707,20.7374218600847,-0.0187906224205992,22548.746904719,-423.704989144229,-0.00172079451672304,-0.00104669418839015,87.2791618911915
4.6,-0.713227600516117,-21.4487578161377,20.7355302156216,-0.0190389319310082,22846.7183172098,-434.977114888277,-0.00175303717422903,-0.00109018123637738,88.8737549526673
4.7,-0.713174841059637,-21.4467896410181,20.7336147999585,-0.0192661169401168,23119.3403281401,-445.419914340304,-0.00177040469115431,-0.0011273177368548,89.7087690275108
4.8,-0.713121499082746,-21.4447991886233,20.7316776895406,-0.0194729105994238,23367.4927193086,-455.033096655783,-0.00177196250624752,-0.00115732444088123,89.7370590246946
4.9,-0.713066406032201,-21.4427872900099,20.7297208839777,-0.0196601090233153,23592.1308279783,-463.823864170369,-0.00175701211753748,-0.00117951949444989,88.9235351866629
5,-0.713008470660188,-21.4407547727682,20.727746302108,-0.0198285244499442,23794.229339933,-471.80445823444,-0.00172509309359617,-0.00119332905518501,87.2452513788451
5.1,-0.712946679904832,-21.4387024624909,20.725755782586,-0.0199789419802123,23974.7303762547,-478.989747178425,-0.00167597387159558,-0.00119829224760518,84.6909221582958
5.2,-0.712880095632958,-21.4366311841582,20.7237510885253,-0.0201120820889464,24134.4985067357,-485.395015143022,-0.00160963161627122,-0.00119406001576355,81.2598834465146
5.3,-0.712807847860283,-21.4345417633807,20.7217339155204,-0.0202285708154968,24274.2849785962,-491.034092685084,-0.00152622202871004,-0.00118038777708204,76.960542908294
