t,z1,z2,rel,vrel,Fpto,Ppto,Tmoor
0,-0.719999999999999,-21.29,20.57,0,1.15707158431597e-26,0,0
0.1,-0.720000000003971,-21.2899999999935,20.5699999999895,-7.32948767639935e-10,0.000351815408467178,-2.57862670072758e-13,0
0.2,-0.720000000433053,-21.2899999998488,20.5699999994158,-1.52624100483884e-08,0.00732595682322654,-1.11811757032873e-10,0
0.3,-0.720000004107863,-21.2899999990147,20.5699999949068,-8.99387249654374e-08,0.0431705879834092,-3.88270763923606e-09,0
0.4,-0.720000019762175,-21.2899999961506,20.5699999763884,-3.13566708766229e-07,0.15051202020779,-4.71955588063128e-08,0
0.5,-0.720000065983399,-21.289999988775,20.5699999227916,-8.16447527092082e-07,0.391894813004195,-3.19961550957489e-07,0
0.6,-0.720000174745707,-21.289999972987,20.5699997982413,-1.76267259070689e-06,0.846082843539307,-1.49136703777408e-06,0
0.7,-0.720000394110055,-21.2899999432798,20.5699995491698,-3.34020823434625e-06,1.60329995248619,-5.35535570342133e-06,0
0.8,-0.720000790025885,-21.2899998924332,20.5699991024073,-5.75165238169195e-06,2.76079314321213,-1.58791224575148e-05,0
0.9,-0.720001447329579,-21.2899998114591,20.5699983641295,-9.20629711622993e-06,4.41902261579038,-4.06828351643058e-05,0
1,-0.720002470025101,-21.2899996895812,20.5699972195561,-1.39128388951485e-05,6.67816266967126,-9.29122013387311e-05,0
1.1,-0.720003980860003,-21.2899995142384,20.5699955333784,-2.00719387854377e-05,9.63453061701012,-0.000193383708771053,0
1.2,-0.720006120160885,-21.289999271114,20.5699931509532,-2.78683151991628e-05,13.3767912955982,-0.00037278863617915,0
1.3,-0.720009043891846,-21.2899989441957,20.5699899003038,-3.74625667253665e-05,17.9820320281759,-0.000673653074713218,0
1.4,-0.720012920934508,-21.2899985158691,20.5699855949346,-4.89831791064841e-05,23.5119259711123,-0.00115168888098139,0
1.5,-0.720017929631794,-21.289997967048,20.5699800374162,-6.25191665488158e-05,30.0091999434316,-0.00187615016926012,0
1.6,-0.720024253673561,-21.289997277335,20.5699730236615,-7.81136677686628e-05,37.4945605289581,-0.00292883764429105,0
1.7,-0.720032077425163,-21.2899964252109,20.5699643477857,-9.57586870660782e-05,45.9641697917175,-0.00440146855133716,0
1.8,-0.720041580814602,-21.2899953882448,20.5699538074302,-0.000115391095349322,55.3877257676744,-0.00639125034523981,0
1.9,-0.72005293390437,-21.2899941433233,20.5699412094189,-0.000136889979106179,65.7071899709656,-0.0089946558622512,0
2,-0.720066291283668,-21.2899926668932,20.5699263756095,-0.000160075416110643,76.8361997331082,-0.0122995866446377,0
2.1,-0.720081786424306,-21.2899909352176,20.5699091487933,-0.000184708739902138,88.6601951530259,-0.016376312926193,0
2.2,-0.720099526149049,-21.2899889246414,20.5698893984923,-0.000210494321833281,101.037274479975,-0.0212677725715454,0
2.3,-0.720119585361655,-21.2899866118653,20.5698670265036,-0.000237082853523188,113.79976969113,-0.0269799741286546,0
2.4,-0.720142002183785,-21.2899839742266,20.5698419720428,-0.000264076062147077,126.756509830597,-0.0334733599675713,0
2.5,-0.720166773634809,-21.2899809899836,20.5698142163488,-0.000291032742899559,139.695716591788,-0.0406560275710275,0
2.6,-0.720193851977129,-21.2899776386042,20.5697837866271,-0.000317475950504441,152.388456242131,-0.0483796699913751,0
2.7,-0.720223141832221,-21.2899739010548,20.5697507592226,-0.000342901155651216,164.592554712583,-0.0564389772225309,0
2.8,-0.720254498152162,-21.2899697600916,20.5697152619395,-0.000366785142750226,176.056868520108,-0.0645750436523057,0
2.9,-0.720287725108001,-21.2899652005511,20.5696774754431,-0.000388595402698817,186.525793295432,-0.0724830657593546,0
3,-0.720322575931171,-21.2899602096411,20.56963763371,-0.000407799759302916,195.743884465399,-0.0798243089700077,0
3.1,-0.720358753717818,-21.289954777232,20.5695960235142,-0.000423875961680008,203.460461606403,-0.0862419988272725,0
3.2,-0.720395913178969,-21.2899488961464,20.5695529829674,-0.000436320978313594,209.434069590525,-0.0913804781359351,0
3.3,-0.720433663293814,-21.289942562449,20.5695088991552,-0.00044465974198364,213.436676152147,-0.0949066973476592,0
3.4,-0.720471570799017,-21.2899357757345,20.5694642049355,-0.000448453118497563,215.25749687883,-0.0965328957552908,0
3.5,-0.720509164425639,-21.2899285394139,20.5694193749883,-0.000447304905458158,214.706354619915,-0.0960392056545268,0
3.6,-0.720545939777612,-21.2899208609966,20.569374921219,-0.0004408677091338,211.616500384224,-0.0932948817393047,0
3.7,-0.720581364732343,-21.2899127523684,20.5693313876361,-0.000428847596294872,205.846846221538,-0.0882769252069867,0
3.8,-0.720614885235985,-21.2899042300619,20.5692893448259,-0.000411007471669878,197.283586401541,-0.0810850280488631,0
3.9,-0.720645931363087,-21.2898953155175,20.5692493841544,-0.000387169188122655,185.841210298874,-0.0719519905111467,0
4,-0.720673923513427,-21.2898860353309,20.5692121118174,-0.000357214453107249,171.462937491479,-0.0612490394441813,0
4.1,-0.720698278627339,-21.2898764214845,20.5691781428572,-0.000321084648645215,154.120631349703,-0.0494857687658981,0
