t,z1,z2,rel,vrel,Fpto,Ppto,x1,x2,Tmoor
0,-0.719999999999999,-21.5,20.78,0,-7.37497126803516e-13,-0,2.56425989891439e-23,-6.87387089031566e-21,0
0.1,-0.719999923836497,-21.4999817257991,20.7799818019626,-0.000387373353187787,185.939209530134,-0.0720278950847743,-4.82316460166731e-10,-2.99744488414696e-11,4.97989932983042e-05
0.2,-0.719999201712771,-21.4999180653515,20.7799188636388,-0.000895976508657115,430.068724155416,-0.385331473951389,-9.19899359492944e-09,-7.29133892801829e-10,0.000949249744540914
0.3,-0.719996683681408,-21.4997967653734,20.779800081692,-0.00149256991695948,716.433560140551,-1.06932717936597,-5.25708674286395e-08,-4.87305267887497e-09,0.00542240095258304
0.4,-0.719990880587705,-21.499610706853,20.7796198262653,-0.00211202522333287,1013.77210719977,-2.14111226111724,-1.83076735349175e-07,-1.97517256533177e-08,0.0188738826371226
0.5,-0.719980252584385,-21.4993589592398,20.7793787066554,-0.00270165386220939,1296.7938538605,-3.50348812377162,-4.80818530760653e-07,-6.0181599276001e-08,0.0495406066503378
0.6,-0.719963464206835,-21.499044568008,20.7790811038011,-0.00324021231234917,1555.30190992759,-5.03950839796756,-1.04976692318808e-06,-1.51593418098186e-07,0.108092856352481
0.7,-0.719939519999098,-21.4986715447465,20.7787320247474,-0.00373420661459649,1792.41917500631,-6.69326353943816,-2.01049276955032e-06,-3.32504416214562e-07,0.206873882906282
0.8,-0.719907773424382,-21.4982427790405,20.7783350056162,-0.00420327952672349,2017.57417282727,-8.48042821429094,-3.49137652986554e-06,-6.55754345468547e-07,0.358986224911224
0.9,-0.719867856996029,-21.497759401682,20.777891544686,-0.00466617534208497,2239.76416420078,-10.4511323150792,-5.61951613086086e-06,-1.18806892426956e-06,0.577352528478647
1,-0.719819595897924,-21.4972212346922,20.7774016387943,-0.00513338007657786,2464.02243675737,-12.6487636850911,-8.51160614890219e-06,-2.00773811007542e-06,0.873779826224002
1.1,-0.719762948337287,-21.496627636381,20.7768646880438,-0.00560677132725888,2691.25023708426,-15.0892246637627,-1.22644559046597e-05,-3.20040544937308e-06,1.25799286697745
1.2,-0.719697984481467,-21.4959781822301,20.7762801977487,-0.00608327557554276,2919.97227626051,-17.7629960294376,-1.69446941795275e-05,-4.85313261396265e-06,1.73658909703777
1.3,-0.719624891485601,-21.4952729480817,20.7756480565961,-0.00655905627532857,3148.34701215771,-20.650185227005,-2.25774437550908e-05,-7.04702667482719e-06,2.31189184548557
1.4,-0.719543983564471,-21.4945124468789,20.7749684633144,-0.00703207723769273,3375.3970740925,-23.7360529329005,-2.91341129909696e-05,-9.84880390190771e-06,2.9807156481207
1.5,-0.71945570107043,-21.4936974037339,20.7742417026635,-0.0075025950641378,3601.24563078613,-27.0186876942838,-3.65197607084666e-05,-1.33017208512741e-05,3.73308942899044
