t,z1,z2,rel,vrel,Fpto,Ppto,x1,x2,Tmoor
0,-0.719999999999999,-21.5,20.78,0,-7.37497126803516e-13,-0,2.56425989891439e-23,-6.87387089031566e-21,0
0.1,-0.719999809858681,-21.4999817444494,20.7799819345907,-0.000383135009173844,459.762011008611,-0.176150922305569,-7.26940490596749e-11,-1.12231889563949e-11,3.7411994892069e-06
0.2,-0.719998015206784,-21.4999182656279,20.7799202504211,-0.000871835594842262,1046.20271381071,-0.912116765320753,-1.3027052064489e-09,-2.70489646890316e-10,6.69237116559597e-05
0.3,-0.719991793410781,-21.4997976170664,20.7798058236556,-0.00142524135366313,1710.28962439575,-2.43757549942981,-7.39404775022033e-09,-1.7515198141482e-09,0.00037948042825382
0.4,-0.719977557500773,-21.4996130978774,20.7796355403766,-0.00197547357806387,2370.56829367663,-4.68299502915413,-2.59420292607576e-08,-6.88239306042387e-09,0.00133013833826459
0.5,-0.719951701233455,-21.4993642291229,20.7794125278895,-0.00247240396463049,2966.88475755658,-7.33533763718466,-6.92935721142193e-08,-2.04286875023456e-08,0.00354940531208485
0.6,-0.719911226651455,-21.4990544626443,20.7791432359928,-0.00290076231536471,3480.91477843765,-10.0973064122881,-1.5513712113849e-07,-5.04450264569303e-08,0.00793845162063997
0.7,-0.719854041767526,-21.498688125011,20.7788340832435,-0.0032737601524049,3928.51218288587,-12.8610066425689,-3.07030475190547e-07,-1.0918401565428e-07,0.0156948541956743
0.8,-0.719778928294613,-21.4982683269215,20.7784893986269,-0.00361642956966358,4339.71548359629,-15.6942753988045,-5.55026563501238e-07,-2.13869967781164e-07,0.0283436428900976
0.9,-0.71968532066052,-21.4977963566652,20.7781110360047,-0.0039508395046822,4741.00740561862,-18.7309593501089,-9.36426466209786e-07,-3.8727309321009e-07,0.0477752785541165
1,-0.71957306553924,-21.4972721711397,20.7776991056005,-0.00428913443481248,5146.96132177496,-22.0760090398729,-1.49657154762086e-06,-6.5804853182592e-07,0.0762860677441604
1.1,-0.719442271562922,-21.4966952728194,20.7772530012565,-0.00463410868328062,5560.93041993673,-25.7699559461482,-2.28953016318167e-06,-1.06082806002891e-06,0.116613558608798
1.2,-0.719293271451409,-21.4960654041017,20.7767721326503,-0.00498368445506613,5980.42134607934,-29.8045328972013,-3.37853901731354e-06,-1.63606883131952e-06,0.171959671705302
1.3,-0.719126655424287,-21.4953828274187,20.7762561719944,-0.00533547851428046,6402.57421713654,-34.160797171618,-4.83609849159412e-06,-2.42967386778269e-06,0.245996331719245
1.4,-0.718943316283497,-21.4946482508282,20.7757049345447,-0.00568930285132278,6827.16342158733,-38.8418003208834,-6.74366578394833e-06,-3.49240475089542e-06,0.342850659643247
1.5,-0.718744463982411,-21.4938625927325,20.7751181287501,-0.00604735984488849,7256.83181386617,-43.8846733122835,-9.19092140980479e-06,-4.87910930613668e-06,0.467068421041541
1.6,-0.718531598016284,-21.4930267655452,20.7744951675289,-0.00641306337555987,7695.67605067182,-49.3528582307367,-1.2274599531847e-05,-6.64778672081272e-06,0.623555197019828
1.7,-0.718306449668496,-21.4921415688871,20.7738351192186,-0.00678963606520106,8147.56327824126,-55.3189894774547,-1.60968761893024e-05,-8.85850985715481e-06,0.81749493381087
1.8,-0.718070914591173,-21.4912076924595,20.7731367778683,-0.00717922464120206,8615.06956944245,-61.8495197386113,-2.07633100446266e-05,-1.15722199738064e-05,1.0542455613365
1.9,-0.717826991800212,-21.4902257786914,20.7723987868912,-0.00758270917738381,9099.25101286055,-68.9969741625366,-2.63803339007798e-05,-1.48494033952438e-05,1.33921156783663
2,-0.717576735460316,-21.4891964902364,20.771619754776,-0.00799998880569686,9599.98656683621,-76.79978506953,-3.30523042550564e-05,-1.87486539021262e-05,1.67769389336269
2.1,-0.717322217672859,-21.4881205495538,20.7707983318809,-0.00843040909344382,10116.4909121326,-85.2861569793841,-4.08781296949034e-05,-2.3325119888853e-05,2.07471821337117
2.2,-0.717065497011397,-21.4869987449355,20.7699332479241,-0.00887308444988281,10647.7013398594,-94.4779531857024,-4.99475147528084e-05,-2.86288326461987e-05,2.53484350611634
2.3,-0.716808588324902,-21.4858319149078,20.7690233265829,-0.0093270297982523,11192.4357579027,-104.392181828983,-6.03368717840543e-05,-3.47029121542818e-05,3.0619536221629
2.4,-0.716553432079227,-21.4846209272547,20.7680674951755,-0.00979114302531326,11749.3716303759,-115.039778090568,-7.21049682278682e-05,-4.15816497798936e-05,3.65903533435016
2.5,-0.716301864026999,-21.4833666639403,20.7670647999133,-0.0102641303839368,12316.9564607241,-126.422847046145,-8.52883898149534e-05,-4.92884731182604e-05,4.3279470195541
2.6,-0.716055587164654,-21.482070015367,20.7660144282024,-0.0107444524587519,12893.3429505023,-138.531910366056,-9.98969118867613e-05,-5.78338064140172e-05,5.06918271046327
2.7,-0.715816147764667,-21.4807318815371,20.7649157337724,-0.0112303245371557,13476.3894445868,-151.344227051808,-0.00011590888100268,-6.72128498010052e-05,5.88163675811349
2.8,-0.715584916398456,-21.4793531755625,20.763768259164,-0.0117197653652397,14063.7184382876,-164.823480259526,-0.000133266717219405,-7.74033111269712e-05,6.76237475458236
2.9,-0.715363073973961,-21.4779348258901,20.7625717519162,-0.0122106687252956,14652.8024703546,-178.920516862693,-0.000151872653389953,-8.83631344327428e-05,7.70641665852963
3,-0.715151602289865,-21.4764777757835,20.7613261734936,-0.012700872827163,15241.0473925956,-193.574604686121,-0.000171584831004953,-0.000100028278319708,8.70653821745659
3.1,-0.714951278501353,-21.47498298049,20.7600317019887,-0.0131882139041337,15825.8566849605,-208.714783177423,-0.000192213872005431,-0.000112310604650943,9.75309676609008
3.2,-0.714762673036798,-21.4734514033892,20.7586887303524,-0.0136705626328393,16404.6751594071,-224.261139238058,-0.000213520042335097,-0.000125095942642105,10.8338872858161
3.3,-0.714586150697578,-21.4718840123254,20.7572978616278,-0.0141458491724293,16975.0190069151,-240.126058570942,-0.000235211115701561,-0.000138242394973237,11.9340342327486
3.4,-0.71442187478581,-21.4702817767491,20.7558599019633,-0.0146120837966456,17534.5005559746,-256.215591456229,-0.000256941035227257,-0.000151578950898032,13.0359240897155
3.5,-0.71426981410622,-21.4686456657013,20.7543758515951,-0.0150673774713921,18080.8529656705,-272.431036638496,-0.000278309456710674,-0.000164904466495966,14.1191828864212
3.6,-0.714129752617517,-21.4669766463436,20.7528468937261,-0.0155099632402064,18611.9558882476,-288.670751655063,-0.000298862240523248,-0.000177987064488061,15.1607020842024
3.7,-0.714001301422559,-21.4652756827028,20.7512743812802,-0.0159382169252093,19125.8603102512,-304.832110506035,-0.000318092940243244,-0.000190563995894824,16.134715262323
3.8,-0.713883912727479,-21.463543734434,20.7496598217065,-0.0163506750183284,19620.810021994,-320.813488265986,-0.000335445315514181,-0.000202341993870918,17.0129269983328
3.9,-0.713776895379958,-21.4617817555773,20.7480048601974,-0.016746048266622,20095.2579199464,-336.516159057641,-0.00035031687485325,-0.000212998136999322,17.764694232387
4,-0.713679431609194,-21.4599906933951,20.7463112617859,-0.0171232305178531,20547.8766214236,-351.84602804104,-0.000362063431744878,-0.000222181225875403,18.35725927021
4.1,-0.713590594616161,-21.4581714873959,20.7445808927798,-0.0174813032317365,20977.5638780837,-366.715155215904,-0.000370004634814477,-0.000229513663618691,18.7560324351618
4.2,-0.7135093666903,-21.456325068621,20.7428157019307,-0.0178195364146519,21383.4436975822,-381.043053639725,-0.000373430410610495,-0.000234593818579272,18.9249212474941
4.3,-0.713434657550081,-21.454452359209,20.7410177016589,-0.0181373866733665,21764.8640080398,-394.757754407055,-0.000371608235890573,-0.000236998836383035,18.8267019062897
4.4,-0.713365322621343,-21.4525542722178,20.7391889495964,-0.018434492831808,22121.3913981695,-407.796631159174,-0.000363791135614127,-0.000236287858855493,18.4234277920188
4.5,-0.713300180982312,-21.4506317116624,20.7373315306801,-0.0187106693221704,22452.8031866045,-420.10697578033,-0.000349226283349832,-0.000232005599387629,17.6768687084352
4.6,-0.713238032721744,-21.4486855727333,20.7354475400116,-0.0189658974520692,22759.0769424829,-431.646319394883,-0.000327164062751873,-0.000223686217922619,16.548973654213
4.7,-0.713177675477695,-21.4467167421685,20.7335390666908,-0.0192003146632774,23040.3775959328,-442.382499802637,-0.000296867432388774,-0.000210857433794481,15.0023490703422
4.8,-0.713117919950189,-21.4447260987662,20.731608178816,-0.0194142019775562,23297.0423730674,-452.293486110416,-0.000257621421800946,-0.000193044810904419,13.0007437638166
4.9,-0.71305760420849,-21.4427145140261,20.7296569098176,-0.0196079699084755,23529.5638901705,-461.366980718015,-0.000208742574551627,-0.000169776146910547,10.5095310794667
5,-0.712995606642668,-21.4406828529063,20.7276872462636,-0.0197821431678994,23738.5718014792,-469.599825978321,-0.000149588144625301,-0.000140585895978654,7.49617840153477
5.1,-0.71293085743806,-21.4386319746782,20.7257011172402,-0.0199373445061785,23924.8134074142,-476.997247149655,-7.95648462986737e-05,-0.000105019553001444,3.93069374022195
5.2,-0.712862348479984,-21.4365627338574,20.7237003853774,-0.020074278010424,24089.1336125088,-483.571965167752,1.86304488923363e-06,-6.26379259418086e-05,-0.213960975192843
5.3,-0.712789141624906,-21.4344759811847,20.7216868395598,-0.0201937121646023,24232.4545975227,-489.343213184168,9.5166440612567e-05,-1.30212221123285e-05,-4.96150018479194
5.4,-0.712710375303516,-21.4323725646336,20.7196621893301,-0.0202964629615984,24355.755553918,-494.335690501841,0.000200745231456279,4.42271260818588e-05,-10.3319985102843
5.5,-0.712625269451074,-21.4302533304186,20.7176280609676,-0.0203833773543924,24460.0528252708,-498.578486845865,0.000318923303321436,0.000109476969862358,-16.3416374018878
5.6,-0.712533128790746,-21.428119123982,20.7155859951913,-0.0204553173374245,24546.3808049093,-502.104008849684,0.000449944941706491,0.000183068359427057,-23.0025229878936
5.7,-0.712433344526655,-21.4259707909392,20.7135374464125,-0.0205131449536191,24615.7739443429,-504.946939065827,0.000593972762324023,0.000265308934683494,-30.3225822226514
5.8,-0.712325394534112,-21.4238091779614,20.7114837834273,-0.0205577085217678,24669.2502261214,-507.143255599158,0.000751087275243128,0.000356471854576954,-38.3055428187095
5.9,-0.712208842164728,-21.4216351335783,20.7094262914136,-0.0205898303698295,24707.7964437954,-508.729337590024,0.000921288152000837,0.000456794320110407,-46.9510005061269
6,-0.712083333813183,-21.4194495088813,20.7073661750682,-0.0206102963413342,24732.3556096009,-509.741178333134,0.00110449722128475,0.000566476735108134,-56.2545749069835
6.1,-0.711948595419326,-21.4172531581145,20.7053045626952,-0.0206198473149044,24743.8167778852,-510.213723947963,0.00130056316957242,0.000685682534573444,-66.2081527834905
6.2,-0.711804428103886,-21.4150469391364,20.7032425110325,-0.0206191729416973,24743.0075300367,-510.180351359546,0.00150926786959453,0.000814538693089994,-76.8002146696429
6.3,-0.711650703156554,-21.4128317137437,20.7011810105872,-0.0206089077629033,24730.6893154839,-509.672495015826,0.00173033420309797,0.000953136905289488,-88.0162380028888
6.4,-0.711487356611858,-21.4106083478469,20.699120991235,-0.020589629819729,24707.5557836748,-508.719427336169,0.0019634351868805,0.00110153540736774,-99.8391669245172
6.5,-0.711314383659435,-21.4083777114917,20.6970633278323,-0.0205618618119856,24674.2341743826,-507.348193410227,0.00220820415449975,0.00125976138363121,-112.249936020519
6.6,-0.711131833140772,-21.4061406787247,20.695008845584,-0.0205260747992772,24631.2897591326,-505.583695998627,0.00246424569268746,0.00142781387598234,-125.228032544615
6.7,-0.7109398023835,-21.4038981273014,20.6929583249179,-0.0204826943720542,24579.2332464649,-503.448922486773,0.00273114698372032,0.00160566708818929,-138.752079224387
6.8,-0.710738432616495,-21.4016509382403,20.6909125056238,-0.0204321091500391,24518.5309800468,-500.965301182932,0.00300848916522434,0.00179327395197272,-152.800417723344
6.9,-0.710527905194329,-21.3993999952294,20.6888720900351,-0.0203746813946527,24449.6176735832,-498.153170320326,0.00329585828944133,0.00199056979970943,-167.35167133449
7,-0.710308438837217,-21.3971461838925,20.6868377450552,-0.0203107594520816,24372.9113424978,-495.032339424383,0.00359285544696206,0.00219747597025115,-182.3852646215
7.1,-0.710080288063928,-21.394890390927,20.6848101028631,-0.0202406916767385,24288.8300120861,-491.622719463347,0.00389910561709062,0.00241390316128147,-197.881877591088
7.2,-0.709843742959009,-21.3926335031278,20.6827897601688,-0.0201648414232848,24197.8097079418,-487.944995551468,0.0042142648196481,0.00263975433494163,-213.82381264042
7.3,-0.709599130374031,-21.390376406311,20.6807772759369,-0.0200836026415148,24100.3231698177,-484.021314074713,0.00453802517189841,0.00287492698409013,-230.195254013959
7.4,-0.709346816615209,-21.3881199841561,20.6787731675409,-0.0199974155646751,23996.89867761,-479.875955119569,0.00487011749949745,0.00311931457518415,-246.982401829794
7.5,-0.709087211618545,-21.3858651169857,20.6767779053672,-0.0199067819506553,23888.1383407863,-475.535961157123,0.00521031121135837,0.00337280700070332,-264.173465866593
7.6,-0.708820774559172,-21.3836126805005,20.6747919059413,-0.0198122793192532,23774.7351831037,-471.031694188926,0.00555841122381575,0.00363528989922443,-281.758508172928
7.7,-0.708548020786214,-21.3813635444899,20.6728155237037,-0.0197145736293451,23657.4883552141,-466.397296064244,0.0059142518074961,0.00390664273423996,-299.729128069988
7.8,-0.708269529919193,-21.3791185715382,20.670849041619,-0.019614429858712,23537.3158304543,-461.671030418797,0.00627768732825235,0.0041867355627396,-318.077988132787
7.9,-0.707985954889271,-21.3768786157428,20.6688926608535,-0.0195127199871466,23415.2639845759,-456.895489556148,0.00664857995822594,0.00447542447020333,-336.798185091724
8,-0.707698031659874,-21.3746445214635,20.6669464898036,-0.0194104279401276,23292.513528153,-452.117655382661,0.00702678454093981,0.00477254569841538,-355.882475110281
8.1,-0.707406589318836,-21.3724171221161,20.6650105327973,-0.0193086511246543,23170.3813495851,-447.388809904335,0.00741213090136271,0.00507790854454816,-375.322368364713
8.2,-0.707112560199317,-21.3701972390242,20.6630846788249,-0.0192085982787868,23050.3179345441,-442.764297402972,0.00780440399402942,0.00539128716223603,-395.107113068735
8.3,-0.706816989661291,-21.3679856803386,20.6611686906773,-0.0191115834591919,22933.9001510302,-438.303146781187,0.00820332237547894,0.00571241144570052,-415.222593842501
8.4,-0.706521045150424,-21.3657832400321,20.6592621948817,-0.0190190161031298,22822.8193237557,-434.067568237331,0.00860851556760821,0.0060409572242319,-435.650173422781
8.5,-0.706226024147387,-21.3635906969723,20.6573646728249,-0.0189323872189369,22718.8646627243,-430.122342969319,0.00901950094253168,0.0063765360343973,-456.365509971833
8.6,-0.705933360628961,-21.3614088140741,20.6554754534452,-0.0188532518780715,22623.9022536858,-426.534127653608,0.00943566080422977,0.00671868476934539,-477.337384515203
8.7,-0.70564462968192,-21.3592383375294,20.6535937078475,-0.0187832082980454,22539.8499576544,-423.370696761312,0.0098562203653964,0.00706685552690769,-498.526574208584
8.8,-0.705361549942289,-21.3570799961065,20.6517184461642,-0.0187238739150559,22468.648698067,-420.700145264292,0.010280227318006,0.00742040598962285,-519.884807127279
8.9,-0.705085983574612,-21.354934500513,20.6498485169384,-0.0186768589440789,22412.2307328946,-418.590072020423,0.0107065336726662,0.00777859066953153,-541.353833061548
9,-0.704819933557527,-21.3528025428097,20.6479826092522,-0.0186437380091032,22372.4856109238,-417.106760342495,0.0111337804952113,0.00814055333829084,-562.864642408597
9.1,-0.704565538101853,-21.3506847958621,20.6461192577603,-0.0186260204940639,22351.2245928767,-416.314367334346,0.0115603861005851,0.00850532093903278,-584.336861747933
9.2,-0.704325062093531,-21.3485819128168,20.6442568507233,-0.0186251203132427,22350.1443758912,-416.27412801932,0.0119845381761666,0.00887179924115215,-605.678350188959
9.3,-0.704100885524294,-21.3464945265855,20.6423936410612,-0.018642325826474,22370.7909917687,-417.043574664501,0.0124041902024262,0.0092387704540593,-626.785015249119
9.4,-0.703895488945768,-21.3444232493224,20.6405277603766,-0.0186787706280616,22414.5247536738,-418.675766610882,0.012817062422046,0.00960489296252935,-647.540861055395
9.5,-0.703711436055151,-21.3423686718791,20.638657235824,-0.0187354059183433,22482.4871020119,-421.21852191011,0.01322064748381,0.00996870328666186,-667.818275288139
9.6,-0.703551353590559,-21.3403313632242,20.6367800096336,-0.0188129751237054,22575.5701484465,-424.713639606191,0.0136122207594857,0.0103286203059754,-687.478554749811
9.7,-0.703417908779521,-21.3383118698134,20.6348939610339,-0.0189119913659106,22694.3896390927,-429.196100909131,0.0139888552055485,0.0106829517223391,-706.372662996568
9.8,-0.703313784642109,-21.3363107149027,20.6329969302606,-0.0190327182972335,22839.2619566801,-434.693238938215,0.0143474405218798,0.0110299026729161,-724.342207369034
9.9,-0.703241653499738,-21.3343283977945,20.6310867442948,-0.0191751547174643,23010.1856609571,-441.22387012643,0.0146847062511464,0.0113675863446514,-741.220617237138
10,-0.703204149079703,-21.3323653930156,20.6291612439359,-0.019339023276524,23206.8279318288,-448.797385547925,0.0149972483696045,0.0116940363885258,-756.834500544437
10.1,-0.703203837633261,-21.3304221494229,20.6272183117896,-0.0195237634470765,23428.5161364918,-457.412806964882,0.0152815588460443,0.012007220886988,-771.005151976182
10.2,-0.703243188500785,-21.3284990892424,20.6252559007416,-0.0197285288302694,23674.2345963232,-467.057819768125,0.0155340575931108,0.0123050575934662,-783.550183415102
10.3,-0.703324544561308,-21.3265966070457,20.6232720624844,-0.019952188739848,23942.6264878175,-477.707802612619,0.0157511262059385,0.0125854301399958,-794.285245871312
10.4,-0.703450092996,-21.3247150686735,20.6212649756775,-0.0201933339002847,24232.0006803415,-489.324880810062,0.015929142877457,0.0128462048985773,-803.025811804472
10.5,-0.703621836776666,-21.32285481012,20.6192329733433,-0.0204502859977,24540.34319724,-501.85703686527,0.016064517897308,0.0130852481841308,-809.588987667238
10.6,-0.703841567262749,-21.3210161363912,20.6171745691285,-0.0207211107418641,24865.3328902369,-515.237316451915,0.0161537291803681,0.0133004435014689,-813.795328502334
10.7,-0.704110838255154,-21.3191993203569,20.6150884821017,-0.0210036340362285,25204.3608434741,-529.383171273376,0.0161933573287033,0.0134897085646118,-815.470629381993
10.8,-0.704430941814163,-21.3174046016127,20.6129736597985,-0.0212954608124834,25554.55297498,-544.195981459218,0.0161801198037465,0.0136510118524929,-814.447672202042
10.9,-0.704802886104552,-21.315632185375,20.6108292992705,-0.0215939960673532,25912.7952808238,-559.560799388238,0.016110903869217,0.0137823885086664,-810.567910609321
11,-0.70522737548497,-21.3138822414277,20.6086548659427,-0.0218964676419354,26275.7611703225,-575.346354233189,0.0159827980548652,0.0138819554416077,-803.68308039906
11.1,-0.705704793013609,-21.3121549031413,20.6064501101277,-0.0221999503067216,26639.9403680658,-591.405352345086,0.0157931219812965,0.0139479255339176,-793.656727301343
11.2,-0.70623518549959,-21.3104502665848,20.6042150810852,-0.0225013907563825,27001.6689076589,-607.575103165697,0.0155394544716445,0.0139786209203379,-780.365648414373
11.3,-0.706818251191418,-21.3087683897481,20.6019501385567,-0.0227976331745833,27357.1598094998,-623.678494035429,0.0152196599516763,0.0139724853430904,-763.70124738
11.4,-0.707453330161265,-21.3071092918915,20.5996559617302,-0.0230854450968586,27702.5341162302,-639.525330384085,0.0148319132014746,0.013928095635898,-743.570806502532
11.5,-0.70813939741857,-21.3054729530371,20.5973335556186,-0.023361543374652,28033.8520495823,-654.914050614893,0.0143747225653518,0.0138441724226534,-719.898681191732
11.6,-0.708875058768015,-21.303859313614,20.594984254846,-0.023622620121212,28347.1441454543,-669.633817669306,0.0138469517492449,0.0137195901409606,-692.627423220666
11.7,-0.709658549416634,-21.3022682742664,20.5926097248498,-0.0238653685950836,28638.4423141002,-683.46698181504,0.013247840334818,0.0135533865131086,-661.718839242342
11.8,-0.71048773533126,-21.3006996958327,20.5902119605014,-0.0240865090442652,28903.8108531181,-696.19190152736,0.0125770231163877,0.013344771586476,-627.154989783562
11.9,-0.71136011735047,-21.299153399499,20.5877932821486,-0.0242828145888413,29139.3775066095,-707.586101227251,0.011834548321452,0.0130931364516055,-588.939131575481
12,-0.712272838063011,-21.2976291671309,20.5853563290679,-0.0244511372576673,29341.3647092007,-717.42973583194,0.011020894710236,0.0127980617196669,-547.096602700806
12.1,-0.713222691475394,-21.2961267417826,20.5829040503072,-0.0245884343120002,29506.1211744002,-725.509322298659,0.0101369874676891,0.012459325802874,-501.675645814247
12.2,-0.714206135503535,-21.2946458283841,20.5804396928805,-0.0246917949835005,29630.1539802005,-731.621687408663,0.00918421270736035,0.0120769129934874,-452.748159860036
12.3,-0.715219307333697,-21.2931860946029,20.5779667872692,-0.0247584677247778,29710.1612697333,-735.578068894636,0.00816443030601352,0.0116510212817507,-400.410365549865
12.4,-0.716258041705061,-21.2917471718796,20.5754891301745,-0.0247858880181373,29743.0656217646,-737.208293817166,0.00707998468691421,0.0111820697934738,-344.783364693205
12.5,-0.71731789216739,-21.2903286566326,20.5730107644652,-0.0247717067143757,29726.0480572507,-736.364944251651,0.0059337130749863,0.0106707056673315,-286.013568626598
12.6,-0.718394155360439,-21.2889301116309,20.5705359562705,-0.0247138187817638,29656.5825381165,-732.927406533431,0.00472895066515108,0.0101178101339099,-224.272966809885
12.7,-0.719481898345357,-21.2875510675323,20.568069169187,-0.0246103922403221,29532.4706883864,-726.805687467005,0.00346953208250508,0.00952450350675802,-159.759203472532
12.8,-0.72057598899131,-21.2861910245859,20.5656150355946,-0.0244598969437007,29351.8763324407,-717.943870195747,0.00215978847534953,0.00889214875374391,-92.6954282988372
12.9,-0.721671129382191,-21.2848494544988,20.5631783251166,-0.0242611327566036,29113.3593079242,-706.323075160249,0.000804539574316177,0.00822235328810927,-23.3298867856533
13,-0.722761892158498,-21.2835258024671,20.5607639103086,-0.0240132565663121,28815.9078795745,-691.963789103436,-0.000590919923410804,0.00751696860555035,48.0647827225861
13.1,-0.723842759649237,-21.2822194893727,20.5583767297235,-0.0237158074690655,28458.9689628785,-674.927428691737,-0.00202084022430223,0.00677808739854283,121.192575107409
13.2,-0.724908165578981,-21.2809299141481,20.5560217485691,-0.0233687293921997,28042.4752706395,-655.317016087027,-0.00347904304489527,0.00600803780335118,195.735492368738
13.3,-0.725952539058312,-21.2796564563092,20.5537039172509,-0.0229723903569003,27566.8684282803,-633.276862451764,-0.00495895530334399,0.00520937447920115,271.355283166828
13.4,-0.726970350483903,-21.2783984786599,20.551428128176,-0.022527597559286,27033.1170711431,-608.991182151777,-0.00645365008008464,0.00438486628249709,347.695557313953
13.5,-0.727956158890951,-21.2771553301657,20.5491991712747,-0.0220356074534152,26442.7289440982,-582.681595009208,-0.00795589483920221,0.00353748038031946,424.384274577507
13.6,-0.728904660218408,-21.2759263489973,20.5470216887789,-0.0214981300615889,25797.7560739066,-554.603515373988,-0.00945820668854565,0.00267036274438537,501.0365961336
